,0
PMC6955270,"['Other avian gammacoronaviruses, including guinea fowl and turkey coronavirus are dependent on long glycans (linear or branched) capped with either an alpha-2,6-linked sialic acid (GfCoV only) or galactose ending glycans (both TCoV and GfCoV) (25, 26).']"
PMC7026129,"['It was reported that hexachlorophene inhibited the viral replication of severe acute respiratory syndrome-related coronavirus in vitro by inhibiting 3C-like protease, which is essential for its lifecycle (Hsu et al., 2004).']"
PMC7054919,"['Cleavage of the Coronavirus S protein by trypsin always plays a determinant role in virus entry.', 'To test whether S protein was cleaved by trypsin in the current study, we first purified PDCoV virions and then treated them with different concentrations (1, 5, 10, 20 μg/ml) of trypsin at 37°C for 2 h. We did not obviously detect S protein cleavage (Figure 2(E)); thus, we think trypsin is not involved in the PDCoV entry process in LLC-PK or ST cells.', 'Coronavirus S protein cleavage by trypsin always plays a critical role for cell-to-cell fusion.', 'To test whether cleavage of S protein by trypsin was different in LLC-PK and ST cells, we infected both cell types with PDCoV for 24 h with trypsin (to increase virus replication and bring S protein to a detectable level).']"
PMC7063555,"['However, many forms of specific treatment are being tried, with various results, such as with remdesivir, lopinavir/ritonavir, chloroquine phosphate, convalescent plasma from patients who have recovered from COVID-19, and others (23-26).']"
PMC7077318,"['The coronavirus 3CLpro employs conserved cysteine and histidine residues, which serve as the principal nucleophile and general acid–base catalyst, respectively, at its catalytic site [9,10,31].']"
PMC7081895,"['First, residue 493 in 2019-nCoV RBD (corresponding to residue 479 in SARS-CoV) is a glutamine (Fig.', 'Second, residue 501 in 2019-nCoV RBD (corresponding to residue 487 in SARS-CoV) is an asparagine (Fig.', 'Third, residues 455, 486, and 494 are leucine, phenylalanine, and serine in 2019-nCoV RBD, respectively (corresponding to residues 442, 472, and 480 in SARS-CoV, respectively) (Fig.', 'Asp480 of human and civet SARS-CoV RBDs provides favorable support for hot spot 353 on human ACE2 through a neighboring tyrosine (this residue remains as an aspartate in the optimized RBD); Ser494 in 2019-nCoV RBD still provides positive support for hot spot 353, but the support is not as favorable as that provided by Asp480.', 'Moreover, 2019-nCoV likely does not use mouse or rat ACE2 as its receptor because mouse or rat ACE2 contains a histidine at the 353 position, which does not fit into the virus-receptor interaction as well as a lysine does (Fig.']"
PMC7082143,"['A novel therapeutic being tested is remdesivir (19, 20), which in combination with chloroquine has been found to inhibit SARS-CoV-2 growth in vitro (21).', 'It was recently announced by the NIH that remdesivir would be entering phase 3 clinical trials in humans.', 'A combination of lopinavir and ritonavir is also under investigation in human cases of COVID-19 in China.']"
PMC7086085,"['Designed as an airborne infection isolation room with 12 air changes/hour, it takes around 30 minutes to achieve airborne-contaminant removal efficiency over 99%, and even longer if surface disinfection with sodium hypochlorite is performed.']"
PMC7088015,"['Of note, taurine, creatine, carnosine, anserine can inhibit tumorigenesis and promote the apoptosis of tumor (e.g., colon cancer) cells, whereas 4-hydroxyproline prevents colitis and thus possibly reduces risk for colon cancers.']"
PMC7091691,"['On 17 February, the Chinese State Council announced that chloroquine phosphate — a structural analogue of quinine, originally extracted from the bark of cinchona trees — can be used for treating COVID-19 patients.', 'The epidemiologist Nanshan Zhong, who is credited with discovering the SARS coronavirus in 2003 and is advising on the management of the COVID-19 outbreak, has said that chloroquine phosphate is not a highly effective cure but its effects deserve attention, even though its pharmaceutical mechanism remains unclear.', 'However, quinine and quinine derivatives have been used for two hundred years, and the bark from which it is extracted for far longer.', 'Another compound from herbal remedies recruited to control COVID-19 is diammonium glycyrrhizinate, an extract of liquorice roots.', 'Liquorice, Glycyrrhiza glabra, has long been employed against coughs and colds as well as to settle disturbed digestion, while diammonium glycyrrhizinate has anti-inflammatory activity and is used to treat liver damage caused by hepatitis B.', 'Professor Hong Ding of Wuhan University has proposed a combination of diammonium glycyrrhizinate and vitamin C as a COVID-19 therapy.', 'In an emergency like the current COVID-19 outbreak, drugs like remdesivir — an experimental drug developed against Ebola and recently held up by WHO Assistant Director-general Bruce Aylward as the only “drug right now that we think may have real efficacy” — take time to pass clinical trials, but readily available herbal medicines and natural products with proven safety can buy time as a first line of defence.']"
PMC7096774,"[""The samples were inoculated into the cells for 1 h at 37 °C and 5% CO2 and fresh culture medium (Eagle's minimum essential medium (EMEM) supplemented with 2% fetal bovine serum (FBS), 0.6 μg/mL penicillin, 60 μg/mL streptomycin, 2 mM L-glutamine, 20 mM HEPES) were added for incubation.""]"
PMC7096898,"['In line with this, Ribo-Seq reads are present on the PCE in cells infected with coronavirus (Fig.']"
PMC7097833,"['Hydroxychloroquine, an analogue of chloroquine, has been proved to have similar if not better in-vitro efficacy on SARS-Cov-2.', 'Available data on SARS-COV2 ::: Chloroquine and hydroxychloroquine ::: Antiviral/Immunological TherapyA recent study has demonstrated invitro efficacy of chloroquine and remdesivir in inhibiting replication of SARS-COV2.', 'In light of this results, an expert consensus group in China has recommended chloroquine for COVID-19 treatment.', 'Dosage ::: Chloroquine and hydroxychloroquine ::: Antiviral/Immunological TherapyThe recommended dosage for SARSCoV- 2 infection is chloroquine 500 mg bid or hydroxychloroquine 200 mg bid for 10 days in combination with another antiviral agent (Lopinavir/ritonavir or Remdesivir).', 'A recent case report described the use of remdesivir, requested for compassionate use, in the first patients with COVID-19 in the United States.', 'Two ongoing clinical randomized clinical trials in China are evaluating remdesivir for moderate and sever COVID-19 infections.', 'To check drug-drug interactions of antiviral therapy please visit the University of Liverpool website: http://www.covid19-druginteractions.orgRationale for the use and mechanism of action ::: Tocilizumab ::: Antiviral/Immunological TherapyTocilizumab (TCZ) is an anti-human IL-6 receptor monoclonal antibody that inhibits signal transduction by binding sIL- 6R and mIL-6R.', 'Indications ::: Tocilizumab ::: Antiviral/Immunological TherapyTCZ is a potential treatment strategy in severe and critical COVID-19 patients.', 'In particular, patients who could benefit from TCZ therapy are:Dosage ::: Tocilizumab ::: Antiviral/Immunological TherapyAlthough the optimal dose and schedule of TCZ for treatment of CRS is not known, the intended posology is 8 mg/kg intravenously (maximum 800 mg/dose) infused over an hour.']"
