"label","sentence"
2,"However, it is not clear whether the anti-virus 185 immune response would be affected after Tocilizumab treatment."
0,"However, the use of ribavirin is associated with significant toxicity, including hemolysis and reduced hemoglobin levels [81] , indicating that ribavirin should be used with caution as a treatment for COVID-19."
4,"According to preliminary reports [50 , 51] from the Chinese authorities suggesting that approxi-mately 100 infected patients treated with chloroquine experienced a more rapid decline in fever and improvement of lung computed tomography (CT) images and required a shorter time to recover compared with control groups, with no obvious serious adverse effects, the Chinese medical advisory board has suggested chloroquine inclusion in the SARS-CoV-2 treatment guidelines."
4,"Notably, inhibition of mTOR with sirolimus reduced MERS-CoV infection by ~60% in cell-based studies 21 ."
2,"Chlorpromazine, an antipsychotic (via dopamine D2 antagonism) dating from the 1950s, is also a potent endocytosis inhibitor (which may explain some of its marked side effects, which can include low white blood cell levels)."
4,"Hydroxychloroquine (HCQ) has emerged as a controversial and potential candidate therapy for COVID-19 [4, 5] ; however, the mechanisms of HCQ antiviral action are unclear."
4,"They showed that chloroquine could reduce the length of hospital stay and improve the evolution of COVID-19 pneumonia [4 , 6] , leading to recommend the administration of 500 mg of chloroquine twice a day in patients with mild, moderate and severe forms of COVID-19 pneumonia."
4,"Heparin, a well-tolerated anticoagulant drug, has been used successfully for over 80 years with limited and manageable side effects."
4,"For example, a docking study of lopinavir along with other HIV proteinase inhibitors of the CoV proteinase (PDBID 1UK3) suggests atazanavir and ritonavir, which are listed in the present prediction results, may inhibit the CoV proteinase in line with the inhibitory potency of lopinavir (14) ."
4,"11 In response to SARS-CoV-2, the Substance Abuse and Mental Health Services Administration has developed emergency regulations to support medication for opioid use disorder via telehealth, 12 and temporarily waived the requirement for in-person physical exam to be able to initiate buprenorphine."
2,"The severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) uses angiotensinconverting enzyme II (ACE2) receptor to enter the host cell and the serine protease TMPRSS2 for virus spike protein priming (2) ."
4,"Added value of this studyOur study is the first randomised, double-blind, placebocontrolled clinical trial assessing the effect of intravenous remdesivir in adults admitted to hospital with severe COVID-19."
4,"The efficacy of aprotinin (and of remdesivir, which is investigated 466against SARS-CoV-2 in clinical trials) can be further enhanced by therapeutic 467concentrations of the proton pump inhibitor omeprazole."
4,"Although these data are encouraging for the potential role of hydroxychloroquine against SARS-CoV-2, we caution against solely relying on these data to support dosing regimens for patients."
2,"The S1/S2 cleavage site of SARS-2-S harbors several arginine residues (multibasic), which indicates high cleavability."
0,"The existence of hydroxychloroquine failure in two patients (mother and son) is more suggestive of the last mechanism of resistance."
2,"Hydroxychloroquine was started with the same dosing regimen as Case 1, along with azithromycin and ceftriaxone."
2,"Recommendation 8: In severe COVID-19 patients with coagulation dysfuntion, a TEG heparinase comparison test is recommended to monitor unfractionated heparin dosage ::: Anticoagulation therapyMost COVID-19 patients with coagulation dysfunction receive heparin."
4,"For this reason, it can be suggested that 112 patients with vascular prosthesis could be considered a selected subgroup, in which, in case of 113 COVID19, it is probably necessary to start an aggressive treatment with heparin at therapeutic 114 dosage."
4,"On 17 February, the Chinese State Council announced that chloroquine phosphate — a structural analogue of quinine, originally extracted from the bark of cinchona trees — can be used for treating COVID-19 patients."
2,"Fifteen heparin anticoagulated plasma samples (from day 2 to 22 post-symptom onset) 77 from SARS-CoV-2 infected patients were analyzed (Table S1 )."
4,"The interventions included arbidol (1 study) [36] , arbidol and lopinavir/ritonavir (1 study) [37] , hydroxychloroquine (4 studies) [28, 32, 37, 40] , interferon and corticosteroid (2 studies) [12, 30] , lopinavir/ritonavir (2 studies) [36, 38] , lopinavir/ritonavir plus ribavirin and corticosteroids (2 studies) [10, 35] , ribavirin (4 studies) [26, 31, 33, 41] , ribavirin and interferon (3 studies) [29, 34, 39] , ribavirin and corticosteroids (1 study) [31] ( Table 1 ).The primary outcomes were mortality reported in 10 studies (4,282 patients) [10, 12, 26, 29, 31, 34, 35, 38, 39, 41] , virological clearance reported in 7 studies (663 patients) [27, 32, [35] [36] [37] [38] 40] , clinical improvement reported in 1 study (199 patients) [38] ."
0,"In fact, the only data assessing oseltamivir activity against coronaviruses demonstrated it to be ineffective at inhibiting SARS-CoV-1, even at a concentration of 10 000 µM/L [56]."
4,"After the outbreak of severe acute respiratory syndrome (SARS) in 2003, screening of approved drugs identified at least two human immunodeficiency virus type-1 (HIV-1) protease inhibitors, lopinavir and nelfinavir, as compounds that inhibited SARS-CoV replication in vitro 3, 4 ."
2,"Remdesivir is presently in clinical trial for Ebola and SARS-CoV-2 infection (Li and De Clercq 2020)."
4,"In children, epinephrine is the first vasoactive of choice for septic shock."
2,"Fourth, we were unable to assess hormone profiles in our cohort, including total testosterone, luteinizing hormone, and follicle stimulating hormone, which could provide an assessment of testicular function."
4,"Discussion The research letter, written by a group of Chinese researchers, studied the effect of chloroquine in vitro, using Vero E6 cells infected by SARS-CoV-2 at a multiplicity of infection (MOI) of 0.05."
2,"Because of the structural conservation on the polymerase catalytic chamber between 2019-nCoV and HCV ns5b polymerase, as well as the likely similar mechanisms of action of remdesivir and sofosbuvir (12, 16) (2'-F-2'-C-methyluridine monophosphate prodrug which targets HCV 45 author/funder."
4,"Janus kinase (JAK) inhibitors such as Baricitinib, Fedratinib, and Ruxolitinib, indicated for Rheumatoid Arthritis and Myelofibrosis, have been tested in xenograft models for Chimeric Antigen Receptor (CAR) T-cell therapy induced CRS 25 ."
4,"The subfractionation of existing heparin preparations against anticoagulant activities (with proven low-toxicity profiles, good bioavailability and industrial-scale manufacturing) for off-label pathologies, provides an attractive strategy for quickly and effectively responding to COVID-19 and for the development of next generation heparin-based therapeutics."
4,"(13)Currently, tocilizumab is available in South Africa for patients with severe Covid-19 and ARDS under the Monitored Emergency use of Unregistered and Investigational Interventions framework."
2,"Trial design This trial is a double-blind placebo-controlled multicenter international randomized-controlled trial designed to evaluate the superiority of hydroxychloroquine versus placebo."
2,"The Gilead’s NUC inhibitor, remdesivir, having a similar chemical structure to HIV reverse-transcriptase inhibitors, is currently being tested in clinical trials for 2019-nCov (SARS-CoV-2), while a drug targeting the spike glycoprotein has also been tested in phase I trials for the treatment of HIV and SARS-CoV.4CRISPR/Cas13d is an RNA-guided, RNA-targeting CRISPR system."
2,"Any clinical impact of remdesivir on COVID-19 remains unknown, and scientists are waiting patiently the final results of these ongoing trials."
2,"According to the current guidelines, [13] the diagnosis of acute pancreatitis requires at least two of the three following signs: 1) abdominal pain, 2) amylase or lipase >3 times the upper normal limit, and 3) characteristic findings on diagnostic imaging."
